DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,EJECUTORA_NOMBRE,MONTO_PIA,MONTO_PIM,MONTO_DEVENGADO,EJECUCION_%
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE COLCA,998679,1195230,1070079.3599999999,89.5291584046585
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE PUCARA,1571933,6436887,4274750.7,66.4102181691243
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CARHUACALLANGA,593885,2504679,1476371.36,58.94453381052024
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CHONGOS ALTO,556732,6383517,3173967.99,49.72130551230615
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE ACOBAMBA,2741459,6042623,2991596.47,49.508242860757655
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE QUILCAS,393492,4110758,1930339.4300000002,46.95823568305408
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SAPALLANGA,2637496,12709486,4937756.59,38.85095424000624
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE HUAYUCACHI,11262017,17807841,6872378.63,38.59186877286247
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE INGENIO,1271998,2892513,1091346.0,37.73002921680905
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE EL TAMBO,9918676,30186711,10966583.89,36.32917772989578
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE HUANCAN,12750031,24156553,7953109.83,32.92319823113836
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CULLHUAS,101239,792021,259441.66999999998,32.756918061516046
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE HUACRAPUQUIO,1704722,2268958,602931.59,26.573060849958434
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CHACAPAMPA,109035,1314382,314030.87000000005,23.891902810598445
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SICAYA,1917805,7036233,1647250.69,23.410974167569492
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO DE TUNAN,521098,3379797,786242.7,23.263015500635095
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CHICCHE,22318,446734,99833.6,22.347437177380726
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CHILCA,3599168,30089230,6527893.79,21.695117455647754
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE PARIAHUANCA,1905536,5168738,1086315.3800000001,21.017033171346664
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,936621,8318917,1746428.36,20.993458162883464
JUNIN,HUANCAYO,MUNICIPALIDAD PROVINCIAL DE HUANCAYO,24119661,71223188,14939472.709999999,20.975574289092478
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE CHUPURO,205877,2397281,331491.59,13.827815345802183
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE PILCOMAYO,2300000,9558519,1125486.0,11.774690200437956
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE SAÑO,544749,2276674,236062.47,10.368742736114173
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE HUALHUAS,345269,3796078,334667.04,8.816126539022644
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE QUICHUAY,135306,453655,17000.0,3.747341041099514
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE HUASICANCHA,3945531,9322239,311367.0,3.340045240204633
JUNIN,HUANCAYO,MUNICIPALIDAD DISTRITAL DE VIQUES,134671,491334,0.0,0.0
