ANO_EJE,DEPARTAMENTO_EJECUTORA_NOMBRE,MONTO_PIA,MONTO_PIM,MONTO_DEVENGADO,EJECUCION_%
2026,JUNIN,935360978,1047878448,772546271.21,73.72479820388482
2026,AYACUCHO,900000000,828577416,600308145.24,72.45045950419677
2026,ICA,447333116,527108637,371835622.23,70.54250227169015
2026,LORETO,967959831,1082750983,747321188.88,69.02059666659291
2026,AMAZONAS,421052022,481167990,331747828.93,68.94636298021403
2026,AREQUIPA,640350532,912165529,625127881.13,68.53228512321911
2026,TACNA,242465752,413724561,269423851.27,65.12155106740207
2026,PIURA,1160117886,1200266520,759404827.47,63.26968342581113
2026,UCAYALI,638776183,692061822,427880662.37,61.8269421557544
2026,SAN MARTIN,633741904,610995609,374812240.5,61.3445064054462
2026,MOQUEGUA,254596641,299773798,171492642.9,57.20734902254533
2026,CUSCO,925142319,1207027052,681748506.25,56.48162608454943
2026,MADRE DE DIOS,192137153,213736296,119880687.66,56.08812817641417
2026,LIMA,428477523,586670793,325834773.53,55.53962757610809
2026,CAJAMARCA,682091188,1053028296,546596008.17,51.90705798184933
2026,APURIMAC,319408894,519810467,267547228.04,51.470150184567174
2026,LAMBAYEQUE,839385905,756925857,371048846.76,49.02050092866625
2026,PASCO,537627067,862247255,374563646.71999997,43.44039885867772
2026,PUNO,797237434,983101884,426020103.85,43.334278042132205
2026,HUANCAVELICA,244805255,297336845,121535327.95,40.874627545738576
2026,HUANUCO,474818256,454773463,180809286.12,39.758099544168
2026,LA LIBERTAD,906843743,954489571,366712956.32,38.41979707916578
2026,ANCASH,451433537,811659213,295590560.5,36.418062625995226
2026,TUMBES,170840282,147442796,49214789.8,33.37890431757683
2026,PROVINCIA CONSTITUCIONAL DEL CALLAO,409704652,331506842,73749890.02,22.246868141563123
